Id,Label,timeset,clustering,triangles,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,eigencentrality
541,,,0.965175,331254,829,23884,2,0.997599,0.998797,57.884045,0.035532,0.035532,0,0.001757,0,0.998898
542,,,0.97268,330614,825,16931,2,0.992832,0.99639,22.145253,0.035498,0.035498,6,0.001297,0,0.997921
543,,,0.981027,324613,814,11862,2,0.979953,0.989771,11.679557,0.035172,0.035172,2,0.000964,0,0.988769
544,,,0.973254,329206,823,14388,2,0.990465,0.995187,18.913327,0.035422,0.035422,2,0.001131,0,0.995778
545,,,0.990919,268753,737,2567,2,0.898378,0.943442,3.754557,0.032016,0.032016,6,0.000354,0,0.900045
546,,,0.985033,226068,678,2033,2,0.844512,0.907942,29.528464,0.029354,0.029354,2,0.000328,0,0.825222
547,,,0.980117,327509,818,8386,2,0.984597,0.992178,10.672928,0.035329,0.035329,6,0.000745,0,0.993185
548,,,0.978037,328415,820,11786,2,0.986936,0.993381,12.881349,0.035378,0.035378,8,0.000967,0,0.994561
549,,,0.973578,330117,824,28785,2,0.991647,0.995788,18.473133,0.035471,0.035471,4,0.002058,0,0.997161
550,,,0.974407,330398,824,16064,2,0.991647,0.995788,17.03947,0.035486,0.035486,2,0.001243,0,0.997591
551,,,0.970373,331432,827,35457,2,0.99521,0.997593,21.333548,0.035542,0.035542,4,0.002483,0,0.999168
552,,,0.978902,327103,818,12401,2,0.984597,0.992178,12.481765,0.035307,0.035307,2,0.001,0,0.992567
553,,,0.99151,299687,778,6587,2,0.940045,0.968111,3.730341,0.033802,0.033802,2,0.000607,0,0.95025
554,,,0.981692,319267,807,7891,2,0.97193,0.98556,9.929182,0.034881,0.034881,6,0.000703,0,0.980579
555,,,0.96897,331754,828,30782,2,0.996403,0.998195,22.928373,0.03556,0.03556,3,0.002187,0,0.999661
556,,,0.96838,331552,828,25595,2,0.996403,0.998195,27.564243,0.035549,0.035549,1,0.001859,0,0.999353
557,,,0.97154,331028,826,24879,2,0.994019,0.996992,20.302052,0.03552,0.03552,3,0.001808,0,0.998556
558,,,0.979069,325560,816,18846,2,0.98227,0.990975,12.997749,0.035223,0.035223,6,0.00142,0,0.9902
559,,,0.978753,327854,819,15256,2,0.985765,0.99278,12.798471,0.035348,0.035348,8,0.001185,0,0.993709
560,,,0.977876,328361,820,12106,2,0.986936,0.993381,13.221308,0.035376,0.035376,8,0.000987,0,0.994485
561,,,0.986162,304236,786,6963,2,0.94863,0.972924,12.729287,0.03405,0.03405,8,0.000641,0,0.95723
562,,,0.974407,330398,824,19200,2,0.991647,0.995788,17.03947,0.035486,0.035486,6,0.001448,0,0.997591
563,,,0.969331,331076,827,30161,2,0.99521,0.997593,26.919388,0.035523,0.035523,4,0.002141,0,0.998626
564,,,0.968266,331513,828,34989,2,0.996403,0.998195,27.850351,0.035546,0.035546,4,0.00245,0,0.999292
565,,,0.97678,329596,822,25311,2,0.989286,0.994585,14.859998,0.035443,0.035443,10,0.00183,0,0.996367
566,,,0.984902,254932,720,2465,2,0.882166,0.933213,31.122104,0.031167,0.031167,2,0.000353,0,0.876169
567,,,0.981331,323119,812,8423,2,0.977647,0.988568,10.851941,0.035091,0.035091,2,0.000737,0,0.98649
568,,,0.978683,327030,818,16271,2,0.984597,0.992178,12.541516,0.035304,0.035304,8,0.001252,0,0.992462
569,,,0.978034,327613,819,19170,2,0.985765,0.99278,14.665046,0.035335,0.035335,2,0.001433,0,0.993347
570,,,0.971681,331076,826,31079,2,0.994019,0.996992,19.985815,0.035523,0.035523,4,0.002202,0,0.998623
571,,,0.980088,325899,816,14097,2,0.98227,0.990975,11.666161,0.035242,0.035242,6,0.001113,0,0.99073
572,,,0.966967,331869,829,32811,2,0.997599,0.998797,29.216735,0.035566,0.035566,4,0.002313,0,0.999837
573,,,0.97574,329245,822,20570,2,0.989286,0.994585,15.276534,0.035424,0.035424,1,0.001528,0,0.995835
574,,,0.981602,322412,811,11623,2,0.976498,0.987966,10.920927,0.035053,0.035053,2,0.000943,0,0.985411
575,,,0.962623,331975,831,45236,1,1,1,60.733919,0.035571,0.035571,4,0.003113,0,1
576,,,0.96965,331185,827,30967,2,0.99521,0.997593,26.281997,0.035529,0.035529,4,0.002195,0,0.998796
577,,,0.989518,311521,794,6523,2,0.957373,0.977738,4.986634,0.034454,0.034454,6,0.000614,0,0.968579
578,,,0.968029,331432,828,34491,2,0.996403,0.998195,28.281328,0.035542,0.035542,4,0.002418,0,0.999171
579,,,0.983181,323728,812,8657,2,0.977647,0.988568,8.975797,0.035124,0.035124,6,0.000758,0,0.987415
